43917800,P@ssword12,General,001,002378,"张晓瑾","-档案馆-","",TRB,"-All-","","","-All-","","","选择标签大类","","","","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-"
43917800,P@ssword12,General,"","","张晓瑾","-档案馆-","",TRB,"-All-","","","-All-","","","选择标签大类","","","",TRB,"降序",Advance,"-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-"
43917800,P@ssword12,General,"001","113589","","个人背景","非尔贸易及顾问有限公司",TRB,"-All-","","","-All-","","","选择标签大类","","","",TRB,"降序","-All-",F,"-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-"
43917800,P@ssword12,General,"","","","-档案馆-","",TRB,AUD,"","","-All-","","","选择标签大类","","","",TRB,"降序","-All-","-All-","[70 + )","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-"
43917800,P@ssword12,General,"","","","-档案馆-","",TRB,"-All-","500000","600000","-All-","","","选择标签大类","","","",TRB,"降序","-All-","-All-","-All-",CN,"-All-","-All-","-All-","-All-","-All-","-All-","-All-"
43917800,P@ssword12,General,"","","","-档案馆-","",TRB,"-All-","","",CAD,"20180101","20210801","选择标签大类","","","",Age,"降序","-All-","-All-","-All-","-All-",JAN,"-All-","-All-","-All-","-All-","-All-","-All-"
43917800,P@ssword12,General,"","","","-档案馆-","",TRB,"-All-","","","-All-","","","Product","TMD Prefered","","",RPQ,"降序","-All-","-All-","-All-","-All-","-All-","一般职员","-All-","-All-","-All-","-All-","-All-"
43917800,P@ssword12,General,"","","","-档案馆-","",TRB,"-All-","","","-All-","","","international","选择标签小类","TMD","",RM,"升序","-All-","-All-","-All-","-All-","-All-","-All-",1,"-All-","-All-","-All-","-All-"
43917800,P@ssword12,General,"","","","-档案馆-","",TRB,"-All-","","","-All-","","","选择标签大类","","CIP","",RM,"升序","-All-","-All-","-All-","-All-","-All-","-All-","-All-",(0 - 50),"-All-","-All-","-All-"
43917800,P@ssword12,General,"","","","-档案馆-","",TRB,"-All-","","","-All-","","","选择标签大类","","","三个月内超过十万",RM,"升序","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","Albert Kang","-All-","-All-"
43917800,P@ssword12,General,001,002378,"张晓瑾","-档案馆-","",TRB,"-All-","","","-All-","","","选择标签大类","","","","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-",Y,"-All-"
43917800,P@ssword12,CPI,001,117499,"向小慧","-档案馆-","",TRB,"-All-","","","-All-","20180101","20210801","Product","选择标签小类","INS","",TRB,"降序","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","Activity"
43917800,P@ssword12,Insurance,001,068809,"陈奇伟","-档案馆-","",TRB,"-All-","","","-All-","","","选择标签大类","","","",TRB,"降序",Mass,F,"[70 + )",MA,DEC,"自雇",5,"[620 + )","Beth Yin,Xiao Ling",N,"Others"
43917800,P@ssword12,SPI,001,098996,"王文军","-档案馆-","",TD,CNY,"","","-All-","20180101","20210801","RM","QDII Prefered","CC","",RM,"升序",Mass,F,"[70 + )",MA,DEC,"非技术性体力劳动者","no RPQ","[620 + )","Cai,Jia Yu",N,"Others"
